amount,claim_type,days_since_policy_start,has_witnesses,prior_claims_count,description,is_fraud
1138.71,PROPERTY,527,0,1,"Minor parking lot collision at Home Depot; both drivers exchanged details, insurance info noted.",0
4264.06,HEALTH,136,1,2,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
1493.23,HEALTH,510,0,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
504.88,HEALTH,435,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
582.14,AUTO,732,1,1,Hailstorm on July 5 caused dents on the hood and cracked the windshield.,0
720.93,HEALTH,119,0,2,"Vehicle disappeared from parking lot, no security camera footage.",0
2972.51,PROPERTY,1186,1,1,Lightning strike damaged HVAC unit on March 12; technician assessment attached.,0
2084.79,LIFE,626,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
3606.47,HEALTH,477,1,0,Backyard fence damaged by neighbour's tree falling during high winds on April 3.,0
1179.38,AUTO,1359,1,1,"Deer collision on the highway near exit 170; airbag deployed, vehicle towed.",0
2118.66,PROPERTY,1116,1,1,"Minor parking lot collision at Target; both drivers exchanged details, insurance info noted.",0
3379.86,HEALTH,206,1,1,Hailstorm on March 12 caused dents on the hood and cracked the windshield.,0
1326.97,AUTO,220,1,1,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
2854.85,AUTO,4,1,0,"Broken items, unwitnessed accident at home.",1
932.69,AUTO,841,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
1257.58,HEALTH,532,1,0,Tree branch fell during the storm on March 12 and dented the roof above the garage.,0
1234.3,AUTO,563,0,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",1
546.84,AUTO,764,1,0,Front-end collision when the other driver ran a red light at Pine Rd; police report filed.,0
2942.38,AUTO,809,0,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on June 24.,0
1130.71,PROPERTY,2,0,1,"Minor parking lot collision at Home Depot; both drivers exchanged details, insurance info noted.",0
1830.77,AUTO,162,0,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
2924.11,AUTO,1183,0,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on June 24.,0
2825.76,HEALTH,1430,1,1,"Broken items, unwitnessed accident at home.",1
3517.08,AUTO,1255,0,0,Hailstorm on July 5 caused dents on the hood and cracked the windshield.,0
1638.46,LIFE,1359,1,0,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
1184.06,PROPERTY,695,1,0,"Deer collision on the highway near exit 184; airbag deployed, vehicle towed.",0
1669.5,HEALTH,1239,0,0,Hailstorm on June 24 caused dents on the hood and cracked the windshield.,0
334.51,HEALTH,1323,0,0,"Property damage but no witnesses, claim is for full replacement value.",0
425.34,AUTO,1339,1,0,"Bicycle accident; broken collarbone, treated at St. Luke's, X-rays and follow-up scheduled.",0
481.69,AUTO,224,1,1,Lightning strike damaged HVAC unit on March 12; technician assessment attached.,0
666.98,AUTO,220,0,1,Backyard fence damaged by neighbour's tree falling during high winds on April 3.,1
2696.67,AUTO,604,0,1,"Vehicle stolen, no GPS data, no security footage available.",1
731.08,AUTO,756,0,0,Hailstorm on August 11 caused dents on the hood and cracked the windshield.,0
1238.72,HEALTH,1437,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
6629.13,AUTO,477,0,0,Hailstorm on March 12 caused dents on the hood and cracked the windshield.,0
1266.15,AUTO,1247,1,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
3780.14,HEALTH,1331,0,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
710.79,HEALTH,1447,0,1,Tree branch fell during the storm on July 5 and dented the roof above the garage.,0
1472.27,AUTO,284,1,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-86167.",0
699.23,AUTO,363,1,0,Rear-end collision at the intersection of 5th Ave and Maple Ave; minor whiplash and bumper damage.,0
1288.16,AUTO,330,1,0,"Bicycle accident; broken collarbone, treated at St. Luke's, X-rays and follow-up scheduled.",0
4189.38,AUTO,1103,1,0,Hailstorm on March 12 caused dents on the hood and cracked the windshield.,0
321.4,PROPERTY,1030,1,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
2791.75,PROPERTY,611,0,1,Backyard fence damaged by neighbour's tree falling during high winds on June 24.,0
2293.27,HEALTH,134,0,0,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
998.1,HEALTH,781,1,0,Lightning strike damaged HVAC unit on May 18; technician assessment attached.,0
425.79,PROPERTY,1098,1,1,"Deer collision on the highway near exit 96; airbag deployed, vehicle towed.",0
1943.27,HEALTH,712,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
1064.76,AUTO,402,0,0,Tree branch fell during the storm on March 12 and dented the roof above the garage.,0
2281.7,AUTO,888,1,1,"Broken items, unwitnessed accident at home.",0
1847.99,HEALTH,991,0,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-71376.",0
8971.24,HEALTH,887,1,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
1423.17,AUTO,1309,1,1,"Minor parking lot collision at Target; both drivers exchanged details, insurance info noted.",0
649.69,AUTO,471,0,1,Backyard fence damaged by neighbour's tree falling during high winds on May 18.,0
2163.05,AUTO,914,0,2,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
2252.95,AUTO,1282,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
7038.76,HEALTH,319,1,0,"Deer collision on the highway near exit 79; airbag deployed, vehicle towed.",0
4167.67,HEALTH,423,0,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
2583.42,HEALTH,74,1,1,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
7811.11,AUTO,563,0,0,"Bicycle accident; broken collarbone, treated at Riverside Medical, X-rays and follow-up scheduled.",0
550.73,AUTO,67,1,0,Backyard fence damaged by neighbour's tree falling during high winds on August 11.,0
953.6,PROPERTY,1119,0,1,Tree branch fell during the storm on May 18 and dented the roof above the garage.,0
715.82,HEALTH,134,1,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-68000.",0
1224.38,AUTO,1038,0,1,Hailstorm on August 11 caused dents on the hood and cracked the windshield.,0
456.37,AUTO,870,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on August 11.,0
3412.33,PROPERTY,1481,0,0,"Property damage but no witnesses, claim is for full replacement value.",1
1447.77,PROPERTY,522,1,0,"Minor parking lot collision at Target; both drivers exchanged details, insurance info noted.",0
415.38,PROPERTY,517,1,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
654.86,HEALTH,365,0,1,"Deer collision on the highway near exit 183; airbag deployed, vehicle towed.",0
2473.81,HEALTH,806,0,0,"Sudden mechanical failure, vehicle written off, no third party.",1
4180.25,HEALTH,329,0,0,Tree branch fell during the storm on March 12 and dented the roof above the garage.,0
13316.12,AUTO,170,1,1,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
33318.31,HEALTH,1422,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
2736.43,HEALTH,1019,1,0,Tree branch fell during the storm on May 18 and dented the roof above the garage.,0
672.14,AUTO,179,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
214.42,PROPERTY,927,1,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
2363.06,AUTO,457,1,0,Backyard fence damaged by neighbour's tree falling during high winds on June 24.,0
801.96,AUTO,270,0,1,"Minor parking lot collision at Walmart; both drivers exchanged details, insurance info noted.",0
1193.5,AUTO,707,0,1,Hailstorm on July 5 caused dents on the hood and cracked the windshield.,0
980.34,PROPERTY,1181,0,1,"Items stolen, no witnesses, cash and electronics gone.",0
1570.59,PROPERTY,1,1,0,Tree branch fell during the storm on July 5 and dented the roof above the garage.,0
5249.98,HEALTH,533,0,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
2115.5,LIFE,1381,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
1542.82,PROPERTY,592,0,1,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
641.84,PROPERTY,149,1,0,Hailstorm on June 24 caused dents on the hood and cracked the windshield.,0
338.77,PROPERTY,643,0,1,"Minor parking lot collision at Walmart; both drivers exchanged details, insurance info noted.",0
1111.75,AUTO,1024,1,1,"Cash and gold coins stolen from home safe, exact amounts approximate.",1
1713.37,PROPERTY,1494,0,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
10592.8,HEALTH,943,0,2,Front-end collision when the other driver ran a red light at Main St; police report filed.,1
2059.62,PROPERTY,76,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
4830.67,AUTO,1213,1,0,Backyard fence damaged by neighbour's tree falling during high winds on May 18.,0
1097.41,PROPERTY,1170,1,1,Rear-end collision at the intersection of Main St and Maple Ave; minor whiplash and bumper damage.,0
552.83,LIFE,977,0,0,Rear-end collision at the intersection of Elm Blvd and Maple Ave; minor whiplash and bumper damage.,0
688.75,AUTO,1344,1,0,"Deer collision on the highway near exit 130; airbag deployed, vehicle towed.",0
875.48,LIFE,1154,1,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
15191.17,AUTO,349,1,2,Rear-end collision at the intersection of Main St and Cedar Lane; minor whiplash and bumper damage.,0
795.22,AUTO,632,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
4181.77,AUTO,761,0,0,"Sudden mechanical failure, vehicle written off, no third party.",0
732.95,PROPERTY,733,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
4589.71,HEALTH,958,1,0,Tree branch fell during the storm on June 24 and dented the roof above the garage.,0
2656.99,AUTO,1052,1,1,Backyard fence damaged by neighbour's tree falling during high winds on June 24.,0
1545.9,HEALTH,156,0,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-39444.",0
1735.82,AUTO,853,1,0,Backyard fence damaged by neighbour's tree falling during high winds on July 5.,0
939.37,HEALTH,59,0,0,"Items missing after recent move, exact value uncertain.",1
2824.46,PROPERTY,767,1,0,"Minor parking lot collision at Home Depot; both drivers exchanged details, insurance info noted.",0
1147.13,HEALTH,633,0,0,"Sudden mechanical failure, vehicle written off, no third party.",1
530.8,PROPERTY,309,0,0,Rear-end collision at the intersection of Main St and Cedar Lane; minor whiplash and bumper damage.,0
503.74,HEALTH,1486,1,0,Lightning strike damaged HVAC unit on May 18; technician assessment attached.,0
2148.63,LIFE,387,1,1,"Minor parking lot collision at Costco; both drivers exchanged details, insurance info noted.",0
8769.99,AUTO,85,0,1,Backyard fence damaged by neighbour's tree falling during high winds on June 24.,0
2121.74,AUTO,538,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
1605.77,AUTO,1136,1,0,Tree branch fell during the storm on May 18 and dented the roof above the garage.,0
2406.25,HEALTH,14,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on April 3.,0
6674.18,HEALTH,739,1,0,Front-end collision when the other driver ran a red light at Main St; police report filed.,0
2251.57,PROPERTY,626,0,2,"Vehicle disappeared from parking lot, no security camera footage.",1
1198.8,AUTO,1298,0,1,Lightning strike damaged HVAC unit on August 11; technician assessment attached.,0
5465.93,AUTO,5,1,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
2775.97,HEALTH,26,0,0,"Vehicle disappeared from parking lot, no security camera footage.",1
8398.06,LIFE,847,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on April 3.,0
2171.63,AUTO,269,1,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-32401.",0
531.41,AUTO,1056,1,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-96585.",1
460.28,AUTO,417,0,2,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
9423.18,HEALTH,843,1,1,Rear-end collision at the intersection of Elm Blvd and Walnut Rd; minor whiplash and bumper damage.,0
10134.15,AUTO,57,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
1510.93,AUTO,1040,0,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
1232.52,HEALTH,777,0,0,Front-end collision when the other driver ran a red light at 5th Ave; police report filed.,0
7796.61,AUTO,1,0,0,"Lost expensive jewellery, no receipt, not sure when.",1
597.62,AUTO,399,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
738.98,AUTO,90,1,0,"Property damage but no witnesses, claim is for full replacement value.",0
3440.34,PROPERTY,68,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
1218.52,HEALTH,1047,0,2,Rear-end collision at the intersection of 5th Ave and Walnut Rd; minor whiplash and bumper damage.,0
1798.81,AUTO,642,1,1,Front-end collision when the other driver ran a red light at Elm Blvd; police report filed.,0
1535.42,AUTO,1204,0,0,"Items missing after recent move, exact value uncertain.",1
2534.05,HEALTH,387,0,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
7387.04,PROPERTY,1076,0,1,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
1979.47,AUTO,923,1,0,Rear-end collision at the intersection of Oak Ave and Maple Ave; minor whiplash and bumper damage.,0
3442.45,AUTO,994,1,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
232.72,AUTO,1242,1,1,Front-end collision when the other driver ran a red light at 5th Ave; police report filed.,0
1722.07,HEALTH,1061,1,0,"Fire damage, unknown cause, total loss.",0
778.03,PROPERTY,1118,0,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-30808.",0
534.42,HEALTH,1109,1,1,Rear-end collision at the intersection of Oak Ave and Maple Ave; minor whiplash and bumper damage.,0
751.33,AUTO,671,0,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-99439.",0
1294.5,PROPERTY,1086,0,0,"Deer collision on the highway near exit 70; airbag deployed, vehicle towed.",0
4518.35,PROPERTY,1263,1,0,Tree branch fell during the storm on July 5 and dented the roof above the garage.,0
479.91,AUTO,1107,0,0,Backyard fence damaged by neighbour's tree falling during high winds on March 12.,0
1864.28,AUTO,911,0,1,Backyard fence damaged by neighbour's tree falling during high winds on June 24.,0
1114.13,AUTO,111,0,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
1302.87,PROPERTY,655,0,0,"Items missing after recent move, exact value uncertain.",0
4928.34,HEALTH,95,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
3096.77,HEALTH,156,0,3,Lightning strike damaged HVAC unit on March 12; technician assessment attached.,0
6887.05,PROPERTY,542,1,0,Hailstorm on July 5 caused dents on the hood and cracked the windshield.,0
1549.2,AUTO,696,1,1,Front-end collision when the other driver ran a red light at 5th Ave; police report filed.,0
901.5,AUTO,791,1,2,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
1445.4,AUTO,1350,1,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
2304.22,PROPERTY,1144,1,1,Front-end collision when the other driver ran a red light at 5th Ave; police report filed.,0
2157.22,HEALTH,634,0,1,Rear-end collision at the intersection of Main St and Maple Ave; minor whiplash and bumper damage.,0
611.31,AUTO,502,0,2,Front-end collision when the other driver ran a red light at Elm Blvd; police report filed.,0
1979.28,AUTO,1069,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
2271.57,PROPERTY,413,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
22414.74,PROPERTY,1325,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on July 5.,0
11811.69,HEALTH,1172,0,0,Lightning strike damaged HVAC unit on July 5; technician assessment attached.,0
770.28,AUTO,1024,1,3,Lightning strike damaged HVAC unit on August 11; technician assessment attached.,0
1356.44,PROPERTY,374,1,2,"Deer collision on the highway near exit 109; airbag deployed, vehicle towed.",0
418.45,PROPERTY,932,1,1,Rear-end collision at the intersection of Elm Blvd and Maple Ave; minor whiplash and bumper damage.,0
1001.54,HEALTH,1231,0,2,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-84998.",0
2478.99,HEALTH,108,0,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-22720.",0
6038.15,PROPERTY,266,1,0,Tree branch fell during the storm on May 18 and dented the roof above the garage.,0
872.11,PROPERTY,773,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
939.98,HEALTH,539,0,1,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
211.18,HEALTH,1064,0,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
1536.61,AUTO,602,1,0,"House contents destroyed, fire of unknown origin, no smoke alarm activated.",1
624.9,PROPERTY,1494,1,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-96054.",0
1064.82,HEALTH,449,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on August 11.,0
752.3,AUTO,540,1,0,"Bicycle accident; broken collarbone, treated at Mercy General, X-rays and follow-up scheduled.",0
1645.4,AUTO,6,0,1,"Bicycle accident; broken collarbone, treated at Riverside Medical, X-rays and follow-up scheduled.",0
311.77,PROPERTY,371,0,1,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
416.95,PROPERTY,354,1,0,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
15202.99,LIFE,1144,1,2,"Property damage but no witnesses, claim is for full replacement value.",1
498.99,HEALTH,507,0,2,Hailstorm on May 18 caused dents on the hood and cracked the windshield.,0
603.78,PROPERTY,305,1,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-91047.",0
11349.32,PROPERTY,471,0,0,Hailstorm on June 24 caused dents on the hood and cracked the windshield.,0
33026.55,AUTO,844,0,0,"Fire damage, unknown cause, total loss.",1
560.28,AUTO,1178,1,2,"Bicycle accident; broken collarbone, treated at Mercy General, X-rays and follow-up scheduled.",0
1251.07,LIFE,1468,0,0,Lightning strike damaged HVAC unit on March 12; technician assessment attached.,0
2544.16,AUTO,72,0,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
10185.27,HEALTH,1261,1,0,"Minor parking lot collision at Walmart; both drivers exchanged details, insurance info noted.",1
673.94,HEALTH,584,0,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-52523.",0
1414.77,HEALTH,1212,0,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-57111.",0
3933.71,AUTO,57,1,2,"Bicycle accident; broken collarbone, treated at Mercy General, X-rays and follow-up scheduled.",0
2792.71,PROPERTY,939,0,1,"Vehicle disappeared from parking lot, no security camera footage.",0
1241.21,AUTO,1396,1,1,Backyard fence damaged by neighbour's tree falling during high winds on April 3.,0
1581.58,PROPERTY,59,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
457.19,AUTO,1185,0,0,"Fire damage, unknown cause, total loss.",0
1424.86,HEALTH,172,1,1,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
1385.22,PROPERTY,1473,0,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
2280.55,AUTO,1116,1,1,Rear-end collision at the intersection of Elm Blvd and Maple Ave; minor whiplash and bumper damage.,0
1037.61,AUTO,1365,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on June 24.,0
2897.31,PROPERTY,1346,1,0,Rear-end collision at the intersection of Elm Blvd and Walnut Rd; minor whiplash and bumper damage.,0
4977.66,AUTO,474,0,1,"Bicycle accident; broken collarbone, treated at Mercy General, X-rays and follow-up scheduled.",0
2112.08,AUTO,624,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
2570.24,HEALTH,1037,1,0,"Minor parking lot collision at Costco; both drivers exchanged details, insurance info noted.",0
1906.75,PROPERTY,263,1,1,Front-end collision when the other driver ran a red light at Pine Rd; police report filed.,0
1808.2,HEALTH,460,1,0,Backyard fence damaged by neighbour's tree falling during high winds on March 12.,0
878.7,AUTO,149,1,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
2481.19,LIFE,1332,0,0,"Minor parking lot collision at Walmart; both drivers exchanged details, insurance info noted.",0
1640.43,HEALTH,372,0,0,"Minor parking lot collision at Walmart; both drivers exchanged details, insurance info noted.",0
